study_id,phase,sponsor_type,no_of_locations,no_of_conditions,enrollment,allocation,intervention_model,masking,no_of_arms,no_of_drug_interventions,no_of_behavioral_interventions,no_of_procedural_interventions,no_of_biological_interventions,no_of_device_interventions,no_of_dietary_interventions,no_of_other_interventions,adverseEventDataAvailable,no_of_combination_product_interventions,no_of_diagnostic_test_interventions,no_of_genetic_interventions,no_of_radiation_interventions,min_age,max_age,gender,total_dropout_rate,start_date,end_date,no_of_primary_outcomes,no_of_secondary_outcomes,has_result
NCT04654676,PHASE4,OTHER,1.0,1,12.0,,SINGLE_GROUP,NONE,,1,0,0,0,0,0,0,0,0,0,0,0,18.0,,ALL,-1.0,2020-11-12,2020-12-16,1.0,3.0,False
NCT00266253,PHASE2,INDUSTRY,47.0,1,220.0,RANDOMIZED,PARALLEL,DOUBLE,6.0,2,0,0,0,0,0,0,0,0,0,0,0,30.0,75.0,ALL,-1.0,2005-12-15,2016-11-01,1.0,3.0,False
NCT03138447,,INDUSTRY,1.0,1,30.0,NON_RANDOMIZED,PARALLEL,NONE,2.0,0,0,0,0,1,0,0,0,0,0,0,0,21.0,,ALL,-1.0,2017-05-01,2019-03-11,1.0,7.0,False
NCT02333734,,OTHER,1.0,1,23.0,RANDOMIZED,PARALLEL,NONE,2.0,0,0,0,0,0,0,1,0,0,0,0,0,40.0,65.0,ALL,-1.0,2014-07-08,2015-02-02,1.0,1.0,False
NCT01871415,PHASE3,INDUSTRY,7.0,1,7.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,3,0,0,0,0,0,0,0,0,0,0,0,18.0,,ALL,-1.0,2013-06-04,2016-11-01,1.0,7.0,False
NCT03180710,PHASE1,INDUSTRY,2.0,1,32.0,RANDOMIZED,CROSSOVER,TRIPLE,4.0,4,0,0,0,0,0,0,0,0,0,0,0,18.0,70.0,ALL,-1.0,2017-06-06,2018-01-09,2.0,6.0,False
NCT00333723,PHASE4,INDUSTRY,,1,245.0,RANDOMIZED,PARALLEL,DOUBLE,,1,0,0,0,0,0,0,0,0,0,0,0,21.0,,ALL,-1.0,2006-06-02,2017-10-05,1.0,1.0,False
NCT04279444,,INDUSTRY,1.0,1,14.0,,SINGLE_GROUP,NONE,1.0,0,0,0,0,0,1,0,0,0,0,0,0,18.0,70.0,ALL,-1.0,2020-02-19,2020-12-03,1.0,4.0,False
NCT02881164,,OTHER,,1,10.0,NON_RANDOMIZED,CROSSOVER,SINGLE,2.0,0,0,0,0,0,0,2,0,0,0,0,0,47.0,64.0,ALL,-1.0,2016-08-23,2016-08-25,2.0,,False
NCT03202563,PHASE4,INDUSTRY,1.0,1,71.0,RANDOMIZED,PARALLEL,NONE,2.0,3,0,1,0,1,0,0,0,0,0,0,0,20.0,70.0,ALL,-1.0,2017-06-26,2019-02-13,1.0,5.0,False
NCT00390520,PHASE3,INDUSTRY,1.0,1,28.0,RANDOMIZED,CROSSOVER,DOUBLE,,1,0,0,0,0,0,0,0,0,0,0,0,18.0,,ALL,-1.0,2006-10-19,2020-02-08,1.0,4.0,False
NCT01729403,PHASE2,INDUSTRY,1.0,1,57.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,3,0,0,0,0,0,0,0,0,0,0,0,30.0,70.0,ALL,-1.0,2012-11-14,2016-11-01,1.0,11.0,False
NCT03168633,,OTHER,,1,50.0,,SINGLE_GROUP,NONE,1.0,0,1,0,0,0,0,0,0,0,0,0,0,18.0,,ALL,-1.0,2017-02-01,2017-05-24,1.0,1.0,False
NCT00099957,PHASE2,INDUSTRY,1.0,1,38.0,RANDOMIZED,PARALLEL,DOUBLE,,1,0,0,0,0,0,0,0,0,0,0,0,30.0,,ALL,-1.0,2004-12-21,2012-05-01,1.0,5.0,False
NCT02855684,PHASE3,INDUSTRY,54.0,1,604.0,RANDOMIZED,PARALLEL,NONE,2.0,3,0,0,0,0,0,0,0,0,0,0,0,18.0,,ALL,-1.0,2016-08-02,2022-04-21,1.0,12.0,False
NCT00901979,PHASE2,INDUSTRY,67.0,1,693.0,RANDOMIZED,PARALLEL,QUADRUPLE,7.0,8,0,0,0,0,0,0,0,0,0,0,0,18.0,75.0,ALL,-1.0,2009-05-13,2013-01-03,1.0,3.0,False
NCT00147758,PHASE3,INDUSTRY,47.0,1,400.0,RANDOMIZED,PARALLEL,DOUBLE,,1,0,0,0,0,0,0,0,0,0,0,0,18.0,75.0,ALL,-1.0,2005-09-02,2012-01-16,1.0,6.0,False
NCT00147719,PHASE3,INDUSTRY,48.0,1,300.0,RANDOMIZED,PARALLEL,DOUBLE,,1,0,0,0,0,0,0,0,0,0,0,0,18.0,75.0,ALL,-1.0,2005-09-02,2012-01-16,1.0,6.0,False
NCT00101712,PHASE3,INDUSTRY,2.0,1,274.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,2,0,0,0,0,0,0,0,0,0,0,0,18.0,,ALL,-1.0,2005-01-12,2012-05-04,1.0,5.0,False
NCT04285554,,INDUSTRY,8.0,1,15.0,,SINGLE_GROUP,NONE,1.0,0,0,0,0,1,0,0,0,0,0,0,0,22.0,70.0,ALL,-1.0,2020-02-19,2023-03-13,1.0,7.0,False
