study_id,phase,sponsor_type,no_of_locations,no_of_conditions,enrollment,allocation,intervention_model,masking,no_of_arms,no_of_drug_interventions,no_of_behavioral_interventions,no_of_procedural_interventions,no_of_biological_interventions,no_of_device_interventions,no_of_dietary_interventions,no_of_other_interventions,adverseEventDataAvailable,no_of_combination_product_interventions,no_of_diagnostic_test_interventions,no_of_genetic_interventions,no_of_radiation_interventions,min_age,max_age,gender,total_dropout_rate,start_date,end_date,no_of_primary_outcomes,no_of_secondary_outcomes,has_result
NCT02638805,PHASE3,INDUSTRY,36.0,1,136.0,RANDOMIZED,PARALLEL,NONE,2.0,4,0,0,0,0,0,0,0,0,0,0,0,18.0,80.0,ALL,-1.0,2015-12-18,2018-11-01,1.0,4.0,False
NCT03226210,PHASE4,OTHER,1.0,1,110.0,RANDOMIZED,PARALLEL,SINGLE,2.0,1,0,0,0,0,0,0,0,0,0,0,0,18.0,70.0,ALL,-1.0,2017-07-19,2017-07-19,1.0,,False
NCT00351507,PHASE3,INDUSTRY,1.0,1,10.0,RANDOMIZED,CROSSOVER,DOUBLE,,1,0,0,0,0,0,0,0,0,0,0,0,35.0,65.0,ALL,-1.0,2006-07-11,2012-05-04,1.0,3.0,False
NCT03890900,PHASE1,OTHER,1.0,1,55.0,,SINGLE_GROUP,NONE,1.0,0,0,0,0,0,0,1,0,0,0,0,0,18.0,,ALL,-1.0,2019-03-23,2022-08-17,1.0,6.0,False
NCT02830048,PHASE2,OTHER,1.0,1,16.0,,SINGLE_GROUP,NONE,1.0,1,0,0,0,0,0,0,0,0,0,0,0,18.0,,ALL,-1.0,2016-07-08,2017-05-30,1.0,3.0,False
NCT00519142,PHASE3,INDUSTRY,61.0,1,367.0,RANDOMIZED,PARALLEL,QUADRUPLE,3.0,3,0,0,0,0,0,0,0,0,0,0,0,18.0,75.0,ALL,-1.0,2007-08-20,2009-09-16,1.0,2.0,False
NCT02551900,,OTHER,1.0,1,48.0,RANDOMIZED,PARALLEL,SINGLE,2.0,0,0,0,0,0,0,3,0,0,0,0,0,60.0,75.0,ALL,-1.0,2015-09-15,2018-04-03,3.0,8.0,False
NCT01324921,PHASE2,INDUSTRY,2.0,1,37.0,RANDOMIZED,CROSSOVER,NONE,3.0,0,0,0,0,0,0,3,0,0,0,0,0,18.0,75.0,ALL,-1.0,2011-03-27,2011-03-29,1.0,2.0,False
NCT03610412,PHASE3,OTHER_GOV,1.0,1,28.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,0,0,0,0,0,0,2,0,0,0,0,0,40.0,59.0,ALL,-1.0,2018-03-23,2022-07-20,6.0,4.0,False
NCT01938521,,OTHER,1.0,1,40.0,RANDOMIZED,PARALLEL,TRIPLE,2.0,0,0,0,0,0,2,0,0,0,0,0,0,30.0,70.0,ALL,-1.0,2013-09-01,2018-08-26,1.0,1.0,False
