no_of_locations,no_of_conditions,enrollment,no_of_arms,adverseEventDataAvailable,min_age,max_age,total_dropout_rate,no_of_primary_outcomes,no_of_secondary_outcomes,has_result,phase_MISSING,phase_PHASE1,phase_PHASE2,phase_PHASE3,phase_PHASE4,sponsor_FED,sponsor_INDIV,sponsor_INDUSTRY,sponsor_NIH,sponsor_OTHER,sponsor_OTHER_GOV,allocation_encoded,intervention_model_CROSSOVER,intervention_model_FACTORIAL,intervention_model_PARALLEL,intervention_model_SEQUENTIAL,intervention_model_SINGLE_GROUP,masking_DOUBLE,masking_NONE,masking_QUADRUPLE,masking_TRIPLE,male,female,trail_length,no_of_interventions,no_of_types_of_interventions
70,1,308,2,1,18,80,10,1,11,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1259,4,1
14,1,402,2,1,18,80,7,1,9,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1183,3,1
2,1,60,2,1,20,69,0,1,3,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,2326,2,1
1,1,99,3,1,20,75,0,2,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1139,3,1
2,1,66,4,1,18,70,2,4,7,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1191,3,2
1,1,20,2,1,20,60,0,4,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1133,2,1
62,1,759,2,1,18,69,13,1,12,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1201,3,1
158,1,814,2,1,18,69,14,1,39,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2269,2,1
12,1,151,2,1,18,70,13,3,4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,4206,2,1
56,1,442,2,1,18,69,15,1,11,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,861,2,1
40,1,300,2,1,18,69,9,1,15,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1931,4,1
1,1,12,2,1,20,75,0,1,7,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,680,2,1
41,1,424,3,1,18,69,4,2,9,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1681,4,1
24,1,236,2,1,10,17,28,1,6,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3781,2,1
1,1,12,2,1,21,55,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1919,2,1
1,1,89,4,1,25,65,7,1,7,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1091,3,1
123,1,256,5,1,10,18,0,2,17,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2532,3,1
1,1,60,2,1,18,70,3,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1490,2,1
1,1,37,4,1,20,70,0,4,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,545,2,1
11,1,304,1,1,18,75,28,1,5,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1325,1,1
1,1,46,2,1,18,70,13,2,15,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1603,2,1
1,1,34,2,1,30,70,0,4,14,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,2226,2,1
1,1,12,2,1,30,65,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1754,2,1
38,1,154,3,1,18,75,1,1,8,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,995,2,1
59,1,296,5,1,18,80,17,1,9,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1939,4,1
8,1,33,3,1,18,70,0,1,14,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1071,3,1
7,1,84,9,1,18,70,8,3,21,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1531,18,1
21,1,259,4,1,20,75,19,1,4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2660,4,1
74,1,494,4,1,20,69,10,2,9,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1360,4,1
228,1,2004,2,1,18,70,20,1,7,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,3133,3,1
1,1,24,2,1,12,25,8,1,8,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2438,2,1
99,1,1202,9,1,18,75,45,1,30,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2422,5,1
1,1,2,2,1,45,65,100,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1605,4,3
1,1,37,4,1,18,65,3,4,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,666,2,1
1,1,55,2,1,35,70,3,1,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,824,2,1
14,1,492,3,1,20,69,9,1,18,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1164,3,1
1,1,58,2,1,25,65,40,1,16,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,4431,5,1
184,1,1912,4,1,18,69,22,2,21,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,5143,4,1
1,1,54,3,1,18,70,21,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,2449,5,1
2,1,48,2,1,20,70,4,1,3,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1689,2,1
85,2,451,7,1,18,65,11,1,5,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1942,3,1
63,1,345,6,1,18,55,0,1,10,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1909,6,1
18,1,106,4,1,20,75,25,1,7,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,3703,2,1
34,1,443,3,1,20,69,6,1,12,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1057,2,1
21,1,1791,2,1,40,69,14,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,5458,4,1
5,1,65,4,1,18,130,5,2,23,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,844,2,1
1,1,30,1,1,4,19,50,1,9,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1014,2,2
1,2,6,2,1,18,75,0,2,6,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,897,3,2
